cluster_key,delta_vs_baseline,failure_type,metric,source_id,value
agent_failure_no_baseline|Seborrheic Dermatitis->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,6.5
agent_failure_no_baseline|Seborrheic Keratosis->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,6
agent_failure_no_baseline|Seborrheic Keratosis->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,8.33
agent_failure_no_baseline|Seborrheic Keratosis->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,4
agent_failure_no_baseline|Seborrheic Keratosis->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,8.75
agent_failure_no_baseline|Seborrheic Keratosis->NEV|NEV,,agent_failure_no_baseline,count,hard_case_mining,4
agent_failure_no_baseline|Seborrheic Keratosis->NEV|NEV,,agent_failure_no_baseline,average_importance,hard_case_mining,7.62
agent_failure_no_baseline|Seborrheic keratosis->SCC|SCC,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Seborrheic keratosis->SCC|SCC,,agent_failure_no_baseline,average_importance,hard_case_mining,8.0
agent_failure_no_baseline|Solar elastosis->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Solar elastosis->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,6.5
agent_failure_no_baseline|Squamous Cell Carcinoma->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Squamous Cell Carcinoma->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,7.0
agent_failure_no_baseline|Squamous Cell Carcinoma->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,2
agent_failure_no_baseline|Squamous Cell Carcinoma->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,7.75
agent_failure_no_baseline|Squamous Cell Carcinoma->SEK|SEK,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Squamous Cell Carcinoma->SEK|SEK,,agent_failure_no_baseline,average_importance,hard_case_mining,7.0
agent_failure_no_baseline|Squamous cell carcinoma->ACK|ACK,,agent_failure_no_baseline,count,hard_case_mining,2
agent_failure_no_baseline|Squamous cell carcinoma->ACK|ACK,,agent_failure_no_baseline,average_importance,hard_case_mining,7.75
agent_failure_no_baseline|Squamous cell carcinoma->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,10
agent_failure_no_baseline|Squamous cell carcinoma->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,8.6
agent_failure_no_baseline|Superficial Spreading Melanoma->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Superficial Spreading Melanoma->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,7.0
agent_failure_no_baseline|Telangiectasia->BCC|BCC,,agent_failure_no_baseline,count,hard_case_mining,1
agent_failure_no_baseline|Telangiectasia->BCC|BCC,,agent_failure_no_baseline,average_importance,hard_case_mining,6.5
contradiction_heavy_case|no_confusion|ACK,,contradiction_heavy_case,count,hard_case_mining,8
contradiction_heavy_case|no_confusion|ACK,,contradiction_heavy_case,average_importance,hard_case_mining,5.0
contradiction_heavy_case|no_confusion|NEV,,contradiction_heavy_case,count,hard_case_mining,1
contradiction_heavy_case|no_confusion|NEV,,contradiction_heavy_case,average_importance,hard_case_mining,3.0
