model,class,support,top1_hits,top1,topk_hits,topk,precision,recall,f1,tp,fp,fn,false_benign,false_malignant,pred_counts
LLaMA direct,SEK,70,2,0.02857142857142857,5,0.07142857142857142,0.25,0.02857142857142857,0.05128205128205128,2,6,68,0,66,"{""BCC"": 40, ""MEL"": 18, ""NEV"": 2, ""SCC"": 8, ""SEK"": 2}"
SkinVL direct,MEL,25,1,0.04,1,0.04,0.03571428571428571,0.04,0.03773584905660378,1,27,24,0,0,"{""BCC"": 9, ""MEL"": 1, ""SCC"": 4, ""UNK"": 11}"
SkinVL direct,BCC,250,67,0.268,82,0.328,0.5726495726495726,0.268,0.3651226158038147,67,50,183,0,0,"{""ACK"": 1, ""BCC"": 67, ""MEL"": 2, ""SCC"": 19, ""UNK"": 161}"
SkinVL direct,SCC,56,6,0.10714285714285714,6,0.10714285714285714,0.03015075376884422,0.10714285714285714,0.047058823529411764,6,193,50,0,0,"{""BCC"": 10, ""SCC"": 6, ""UNK"": 40}"
SkinVL direct,ACK,216,2,0.009259259259259259,2,0.009259259259259259,0.16666666666666666,0.009259259259259259,0.017543859649122806,2,10,214,0,0,"{""ACK"": 2, ""BCC"": 7, ""MEL"": 14, ""SCC"": 116, ""UNK"": 77}"
SkinVL direct,NEV,72,0,0.0,0,0.0,0.0,0.0,0.0,0,0,72,0,48,"{""ACK"": 8, ""BCC"": 18, ""MEL"": 5, ""SCC"": 17, ""UNK"": 24}"
SkinVL direct,SEK,70,0,0.0,0,0.0,0.0,0.0,0.0,0,0,70,0,50,"{""ACK"": 1, ""BCC"": 6, ""MEL"": 6, ""SCC"": 37, ""UNK"": 20}"
Hulu-Med Agent+fusion,MEL,25,19,0.76,23,0.92,0.5,0.76,0.6031746031746031,19,19,6,1,0,"{""ACK"": 2, ""BCC"": 3, ""MEL"": 19, ""NEV"": 1}"
Hulu-Med Agent+fusion,BCC,250,218,0.872,250,1.0,0.4351297405189621,0.872,0.5805592543275633,218,283,32,1,0,"{""ACK"": 5, ""BCC"": 218, ""SCC"": 26, ""SEK"": 1}"
Hulu-Med Agent+fusion,SCC,56,15,0.26785714285714285,47,0.8392857142857143,0.3125,0.26785714285714285,0.2884615384615385,15,33,41,2,0,"{""ACK"": 2, ""BCC"": 37, ""SCC"": 15, ""SEK"": 2}"
Hulu-Med Agent+fusion,ACK,216,32,0.14814814814814814,155,0.7175925925925926,0.6037735849056604,0.14814814814814814,0.2379182156133829,32,21,184,6,0,"{""ACK"": 32, ""BCC"": 168, ""MEL"": 3, ""NEV"": 1, ""SCC"": 7, ""SEK"": 5}"
Hulu-Med Agent+fusion,NEV,72,24,0.3333333333333333,48,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,24,12,48,0,47,"{""ACK"": 5, ""BCC"": 32, ""MEL"": 10, ""NEV"": 24, ""SEK"": 1}"
Hulu-Med Agent+fusion,SEK,70,4,0.05714285714285714,44,0.6285714285714286,0.3076923076923077,0.05714285714285714,0.09638554216867469,4,9,66,0,56,"{""ACK"": 7, ""BCC"": 43, ""MEL"": 6, ""NEV"": 10, ""SEK"": 4}"
