component,data_version,finished_at,metric_split,primary_metric_name,primary_metric_value,run_id,secondary_metric_name,secondary_metric_value,stage_id,stage_name,started_at,status,version
bootstrap_data_snapshot,bootstrap_data_medium_signal_no_ablation_10h_v1_c1fd1764ba7c,2026-03-27T19:04:08Z,stage,controller_example_count,119,medium_signal_no_ablation_10h_v1,records_selected,119,0,bootstrap_collect_data,2026-03-27T19:04:07Z,completed,bootstrap_data_medium_signal_no_ablation_10h_v1_c1fd1764ba7c
controller_planner_scorer,,2026-03-27T19:04:10Z,metrics,micro_f1,,medium_signal_no_ablation_10h_v1,topk_hit_rate,,1,supervised_controller_training,2026-03-27T19:04:08Z,completed,controller_planner_scorer_v0.1.0+medium_signal_no_ablation_10h_v1
retrieval_reranker,,2026-03-27T19:04:14Z,metrics,grouped_top1_hit_rate,,medium_signal_no_ablation_10h_v1,pointwise_binary_f1,,2,retrieval_scorer_training,2026-03-27T19:04:10Z,completed,retrieval_reranker_v0.1.0+medium_signal_no_ablation_10h_v1
policy_candidate,promote,2026-03-28T09:56:16Z,val,top1,0.283333,medium_signal_no_ablation_10h_v1,malignant_recall,0.71875,3,policy_candidate_evaluation,2026-03-28T06:34:29Z,completed,candidate_stage4_step6_medium_signal_no_ablation_10h_v1@v2
stable_checkpoint_bundle,,2026-03-28T09:56:16Z,stage,exported_component_count,2,medium_signal_no_ablation_10h_v1,export_tier,run_candidate_export,4,stable_checkpoint_export,2026-03-28T09:56:16Z,completed,stable_checkpoint_bundle_v1+medium_signal_no_ablation_10h_v1
